log_id,log_timestamp,log_ggrp_id,log_ggrp_name,log_dun,log_dun_win,log_encount_1
23,11/7/2014 17:40,31,Alcyone's Test Group,Ruinous Whispers,Heroes Win,Overlord Wins
22,11/6/2014 21:45,14,NORdelving,The Masquerade Ball,Heroes Win,Heroes Win
18,10/27/2014 7:34,25,Brothers in Arms,A Fat Goblin,Heroes Win,Overlord Wins
17,10/27/2014 7:25,25,Brothers in Arms,Skipped Campaign Intro,No Winner,No Winner
16,10/23/2014 21:26,14,NORdelving,The Cardinal's Plight,Overlord Wins,Heroes Win
20,11/5/2014 13:12,29,Brothers in Arms,**Skipped Campaign Intro**,No Winner,No Winner
13,10/3/2014 11:10,14,NORdelving,Castle Daerion,Overlord Wins,Heroes Win
21,11/5/2014 15:29,29,Brothers in Arms,The Masquerade Ball,Overlord Wins,Overlord Wins
12,10/3/2014 11:10,14,NORdelving,Skipped Campaign Intro,none,none
24,11/9/2014 14:40,32,Test Creation One,**Starting Gear**,No Winner,No Winner
25,11/12/2014 10:41,32,Test Creation One,A Demostration,Heroes Win,Heroes Win
26,11/12/2014 10:54,33,Test Creation One,**Starting Gear**,No Winner,No Winner
27,11/12/2014 12:28,31,Alcyone's Test Group,Barrow of Barris,Heroes Win,Heroes Win
28,11/12/2014 16:01,35,Example Game,**Starting Gear**,No Winner,No Winner
29,11/12/2014 16:08,35,Example Game,First Blood,Heroes Win,Heroes Win
30,11/14/2014 10:44,35,Example Game,A Fat Goblin,Overlord Wins,Overlord Wins
31,11/19/2014 15:40,29,Brothers in Arms,Death on the Wing,Heroes Win,Heroes Win
32,11/27/2014 7:11,37,Test Creation One,Gold Digger,Heroes Win,Overlord Wins
33,11/27/2014 8:19,39,Test game - delete me -,**Starting Gear**,No Winner,No Winner
34,11/27/2014 8:25,39,Test game - delete me -,First Blood,Heroes Win,Heroes Win
35,11/27/2014 11:01,38,Mancave,First Blood,Heroes Win,No Winner
