"shop_id","shop_player","shop_xp","shop_gold","shop_market_bought","shop_market_sold","shop_goldsold","shop_relics","shop_equipped","shop_skills","shop_latestdungeon","shop_notes","shop_groupid"
"74","Leoric of the Book",NULL,"25",NULL,NULL,"0",NULL,"yes",NULL,"Skipped Campaign Intro",NULL,"25"
"5","Leoric of the Book","1","25",NULL,NULL,"0",NULL,"yes",NULL,"Skipped Campaign Intro",NULL,"14"
"6","Laughin Buldar","1","25",NULL,NULL,"0",NULL,"yes",NULL,"Skipped Campaign Intro",NULL,"14"
"7","Tobin Farslayer","1","25",NULL,NULL,"0",NULL,"yes",NULL,"Skipped Campaign Intro",NULL,"14"
"8","Elder Mok","1","25",NULL,NULL,"0",NULL,"yes",NULL,"Skipped Campaign Intro",NULL,"14"
"16","Elder Mok",NULL,"0",NULL,NULL,"0",NULL,"yes","Prayer of Healing","Skipped Campaign Intro",NULL,"14"
"15","Elder Mok","-1","0",NULL,NULL,"0",NULL,"yes","Armor of Faith","Skipped Campaign Intro",NULL,"14"
"17","Elder Mok","1","75",NULL,NULL,"0",NULL,"yes",NULL,"Castle Daerion",NULL,"14"
"18","Tobin Farslayer","-1","0",NULL,NULL,"0",NULL,"yes","Accurate","Skipped Campaign Intro",NULL,"14"
"19","Tobin Farslayer",NULL,"0",NULL,NULL,"0",NULL,"yes","Nimble","Skipped Campaign Intro",NULL,"14"
"21","Tobin Farslayer","1","100",NULL,NULL,"0",NULL,"yes",NULL,"Castle Daerion",NULL,"14"
"23","Laughin Buldar",NULL,"0",NULL,NULL,"0",NULL,"yes","Rage","Skipped Campaign Intro",NULL,"14"
"24","Laughin Buldar","-1","0",NULL,NULL,"0",NULL,"yes","Brute","Skipped Campaign Intro",NULL,"14"
"25","Laughin Buldar","1","0",NULL,NULL,"0",NULL,"yes",NULL,"Castle Daerion",NULL,"14"
"26","Leoric of the Book","1","0",NULL,NULL,"0",NULL,"yes",NULL,"Castle Daerion",NULL,"14"
"31","Overlord",NULL,"0",NULL,NULL,"0",NULL,"yes",NULL,"Skipped Campaign Intro",NULL,"14"
"236","Tobin Farslayer",NULL,"0","Shield of the Dark God (Relic)",NULL,"0","yes","yes",NULL,"Death on the Wing",NULL,"29"
"71","Laughin Buldar","1","0",NULL,NULL,"0",NULL,"yes",NULL,"The Cardinal's Plight",NULL,"14"
"73","Overlord","1","0","Staff of Shadows (Relic)",NULL,"0","yes","yes",NULL,"The Cardinal's Plight",NULL,"14"
"30","Overlord","-1","0",NULL,NULL,"0",NULL,"yes","Blood Rage","Skipped Campaign Intro",NULL,"14"
"32","Overlord","1","0",NULL,NULL,"0",NULL,"yes",NULL,"Skipped Campaign Intro",NULL,"14"
"33","Overlord",NULL,"0",NULL,NULL,"0",NULL,"yes",NULL,"Castle Daerion",NULL,"14"
"34","Overlord","2","0",NULL,NULL,"0",NULL,"yes",NULL,"Castle Daerion",NULL,"14"
"103","Tobin Farslayer","-1","0",NULL,NULL,"0",NULL,"yes","Appraisal",NULL,NULL,"29"
"104","Trenloe the Strong","-1","0",NULL,NULL,"0",NULL,"yes","Advance",NULL,NULL,"29"
"105","Aurim","-1","0",NULL,NULL,"0",NULL,"yes","Healing Rain",NULL,NULL,"29"
"106","Truthseer Kel","-1","0",NULL,NULL,"0",NULL,"yes","Fury of Undeath",NULL,NULL,"29"
"56","Laughin Buldar",NULL,"0","Chipped Greataxe (Berserker)",NULL,"0",NULL,"yes",NULL,"Skipped Campaign Intro",NULL,"14"
"57","Tobin Farslayer",NULL,"0","Yew Shortbow (Wildlander)",NULL,"0",NULL,"yes",NULL,"Skipped Campaign Intro",NULL,"14"
"109","Trenloe the Strong","1","0",NULL,NULL,"0",NULL,"yes",NULL,"The Masquerade Ball",NULL,"29"
"107","Overlord","-1","0",NULL,NULL,"0",NULL,"yes","Word of Pain",NULL,NULL,"29"
"108","Truthseer Kel",NULL,"-75","Heavy Cloak",NULL,"0",NULL,"yes",NULL,NULL,NULL,"29"
"58","Elder Mok",NULL,"0","Iron Mace (Disciple)",NULL,"0",NULL,"yes",NULL,"Skipped Campaign Intro",NULL,"14"
"59","Elder Mok",NULL,"0","Wooden Shield (Disciple)",NULL,"0",NULL,"yes",NULL,"Skipped Campaign Intro",NULL,"14"
"60","Leoric of the Book",NULL,"0","Arcane Bolt (Runemaster)",NULL,"0",NULL,"yes",NULL,"Skipped Campaign Intro",NULL,"14"
"61","Leoric of the Book",NULL,"0",NULL,NULL,"0",NULL,"yes","Runic Knowledge (Runemaster)","Skipped Campaign Intro",NULL,"14"
"62","Leoric of the Book","-1","0",NULL,NULL,"0",NULL,"yes","Exploding Rune","Skipped Campaign Intro",NULL,"14"
"63","Leoric of the Book",NULL,"-75","Leather Armor",NULL,"0",NULL,"yes",NULL,"Castle Daerion",NULL,"14"
"64","Tobin Farslayer",NULL,"-75","Scorpion Helm",NULL,"0",NULL,"yes",NULL,"Castle Daerion",NULL,"14"
"65","Tobin Farslayer","-1","0",NULL,NULL,"0",NULL,"yes","Eagle Eyes","Castle Daerion",NULL,"14"
"66","Laughin Buldar","-1","0",NULL,NULL,"0",NULL,"yes","Counter Attack","Castle Daerion",NULL,"14"
"67","Laughin Buldar",NULL,"-50","Iron Shield",NULL,"0",NULL,"yes",NULL,"Castle Daerion",NULL,"14"
"68","Elder Mok",NULL,"-100","Lucky Charm",NULL,"0",NULL,"yes",NULL,"Castle Daerion",NULL,"14"
"69","Leoric of the Book","1","175","Magic Staff","Magic Staff","0",NULL,"no",NULL,"The Cardinal's Plight",NULL,"14"
"70","Tobin Farslayer","1","0",NULL,NULL,"0",NULL,"yes",NULL,"The Cardinal's Plight",NULL,"14"
