"dun_id","dun_name","dun_expansion","dun_act","dun_order","dun_type"
"1","First Blood","The Shadow Rune","Introduction","2","Quest"
"2","A Fat Goblin","The Shadow Rune","Act 1","3","Quest"
"3","The Monster's Hoard","The Shadow Rune","Act 2","6","Quest"
"4","The Frozen Spire","The Shadow Rune","Act 2","6","Quest"
"5","Castle Daerion","The Shadow Rune","Act 1","3","Quest"
"6","The Dawnblade","The Shadow Rune","Act 2","6","Quest"
"7","The Desecrated Tomb","The Shadow Rune","Act 2","6","Quest"
"8","The Cardinal's Plight","The Shadow Rune","Act 1","3","Quest"
"9","Enduring the Elements","The Shadow Rune","Act 2","6","Quest"
"10","The Ritual of Shadows","The Shadow Rune","Act 2","6","Quest"
"11","The Masquerade Ball","The Shadow Rune","Act 1","3","Quest"
"12","Blood of Heroes","The Shadow Rune","Act 2","6","Quest"
"13","The Twin Idols","The Shadow Rune","Act 2","6","Quest"
"14","Death on the Wing","The Shadow Rune","Act 1","3","Quest"
"15","The Wyrm Turns","The Shadow Rune","Act 2","6","Quest"
"16","The Wyrm Rises","The Shadow Rune","Act 2","6","Quest"
"17","The Shadow Vault","The Shadow Rune","Interlude 1","4","Quest"
"18","The Overlord Revealed","The Shadow Rune","Interlude 2","5","Quest"
"19","Gryvorn Unleashed","The Shadow Rune","Finale 1","7","Quest"
"20","The Man Who Would Be King","The Shadow Rune","Finale 2","8","Quest"
"21","Gold Digger","Lair of the Wyrm","Act 1","3","Quest"
"22","Rude Awakening","Lair of the Wyrm","Act 1","3","Quest"
"23","What's yours is Mine","Lair of the Wyrm","Act 1","3","Quest"
"24","At the Forge","Lair of the Wyrm","Finale 1","7","Quest"
"25","Armored to the Teeth","Lair of the Wyrm","Finale 2","8","Quest"
"26","**Skipped Campaign Intro**","The Shadow Rune","Introduction","2","Pregame"
"27","**Starting Gear**","The Shadow Rune","Starting","1","Pregame"
"28","**Skipped Campaign Intro**","Labyrinth of Ruin","Introduction","2","Pregame"
"29","**Starting Gear**","Labyrinth of Ruin","Starting","1","Pregame"
"30","Crusade of the Forgotten","Crusade of the Forgotten","Act 1","1","Rumor"
"31","Shadow Watch","Crusade of the Forgotten","Act 2","2","Rumor"
"32","Ruinous Whispers","Labyrinth of Ruin","Introduction","2","Quest"
"33","Gathering Foretold","Labyrinth of Ruin","Act 1","3","Quest"
"34","Honor Among Thieves","Labyrinth of Ruin","Act 1","3","Quest"
"35","Reclamation","Labyrinth of Ruin","Act 1","3","Quest"
"36","Through the Mist","Labyrinth of Ruin","Act 1","3","Quest"
"37","Barrow of Barris","Labyrinth of Ruin","Act 1","3","Quest"
"38","Secrets in Stone","Labyrinth of Ruin","Act 1","3","Quest"
"39","Fury of the Tempest","Labyrinth of Ruin","Act 1","3","Quest"
"40","Back from the Dead","Labyrinth of Ruin","Act 1","3","Quest"
"41","Pilgrimage","Labyrinth of Ruin","Interlude","4","Quest"
"42","Fortune and Glory","Labyrinth of Ruin","Interlude","4","Quest"
"43","Heart of the Wilds","Labyrinth of Ruin","Act 2","5","Quest"
"44","Let the Truth be Buried","Labyrinth of Ruin","Act 2","5","Quest"
"45","Fountain of Insight","Labyrinth of Ruin","Act 2","5","Quest"
"46","Web of Power","Labyrinth of Ruin","Act 2","5","Quest"
"47","Fire and Brimstone","Labyrinth of Ruin","Act 2","5","Quest"
"48","Tripping the Scales","Labyrinth of Ruin","Act 2","5","Quest"
"49","Endless Night","Labyrinth of Ruin","Finale","6","Quest"
"50","A Glimmer of Hope","Labyrinth of Ruin","Finale","6","Quest"
"51","**Starting Gear**","Manor of Ravens","Starting","1","Pregame"
"52","Spread Your Wings","Manor of Ravens","Act 1","2","Quest"
"53","Finders and Keepers","Manor of Ravens","Act 1","2","Quest"
"54","My House, My Rules","Manor of Ravens","Act 1","2","Quest"
"55","Where the Heart Is","Manor of Ravens","Act 2","3","Quest"
"56","Wrong Man for the Job","Manor of Ravens","Act 2","3","Quest"
"57","Beneath the Manor","Manor of Ravens","Act 2","3","Quest"
"58","**Skipped Campaign Intro**","Shadow of Nerekhall","Introduction","2","Pregame"
"59","**Starting Gear**","Shadow of Nerekhall","Starting","1","Pregame"
"60","A Demostration","Shadow of Nerekhall","Introduction","2","Quest"
"61","Civil War","Shadow of Nerekhall","Act 1","3","Quest"
"62","Without Mercy","Shadow of Nerekhall","Act 1","3","Quest"
"63","Local Politics","Shadow of Nerekhall","Act 1","3","Quest"
"64","Prey","Shadow of Nerekhall","Act 1","3","Quest"
"65","Price of Power","Shadow of Nerekhall","Act 1","3","Quest"
