"hero_id","hero_name","hero_type","hero_expansion","hero_card","hero_bust"
"1","Reynhart The Worthy","Warrior",,"reynhart.jpg","reynhartbust.jpg"
"2","Logan Lashley","Scout",NULL,"logan.jpg","loganbust.jpg"
"3","High Mage Quellen","Mage",NULL,"quellen.jpg","quellenbust.jpg"
"4","Ulma Grimstone","Healer",NULL,"ulma.jpg","ulmabust.jpg"
"5","Augur Grisom","Healer",NULL,"grisom.jpg","grisombust.jpg"
"6","Dezra the Vile","Mage",NULL,"dezera.jpg","dezrabust.jpg"
"7","Raythen","Scout",NULL,"raythen.jpg","raythenbust.jpg"
"8","Pathfinder Durik","Scout",NULL,"durik.jpg","durikbust.jpg"
"9","Alys Raine","Warrior",NULL,"alys.jpg","alysbust.jpg"
"10","Laurel of Bloodwood","Scout",NULL,"laurelofbloodwood.jpg","laurelofbloodwoodbust.jpg"
"11","Ravaella Lightfoot","Mage",NULL,"ravaella.jpg","ravaellabust.jpg"
"12","Rendiel","Healer",NULL,"rendiel.jpg","rendielbust.jpg"
"13","Serena","Healer",NULL,"serena.jpg","serenabust.jpg"
"14","Shiver","Mage",NULL,"shiver.jpg","shiverbust.jpg"
"15","Thaiden Mistpeak","Scout",NULL,"thaiden.jpg","thaidenbust.jpg"
"16","Orkell the Swift","Warrior",NULL,"orkell.jpg","orkellbust.jpg"
"17","Overlord","Overlord",NULL,"overlord.jpg","overlordbust.jpg"
"18","Elder Mok","Healer",NULL,"eldermok.jpg","eldermokbust.jpg"
"19","Laughin Buldar","Warrior",NULL,"laughinbuldar.jpg","laughinbuldarbust.jpg"
"20","Tobin Farslayer","Scout",NULL,"tobinfarslayer.jpg","tobinfarslayerbust.jpg"
"21","Leoric of the Book","Mage","vanilla","leoricofthebook.jpg","leoricofthebookbust.jpg"
"22","Avric Albright","Healer","Vanilla","avricalbright.jpg","avricalbrightbust.jpg"
"23","Ashrian","Healer","Vanilla","ashrian.jpg","ashrianbust.jpg"
"24","Brother Gherinn","Healer","Vanilla","brothergherinn.jpg","brothergherinnbust.jpg"
"25","Brother Glyr","Healer","Vanilla","brotherglyr.jpg","brotherglyrbust.jpg"
"26","Elder Mok","Healer","Vanilla","eldermok.jpg","eldermokbust.jpg"
"27","Ispher","Healer","Vanilla","ispher.jpg","ispherbust.jpg"
"28","Jonas the Kind","Healer","Vanilla","jonasthekind.jpg","jonasthekindbust.jpg"
"29","Okaluk and Rakash","Healer","Vanilla","okalukandrakash.jpg","okalukandrakashbust.jpg"
"30","Sahla","Healer","Vanilla","sahla.jpg","sahlabust.jpg"
"31","Aurim","Healer","Vanilla","aurim.jpg","aurimbust.jpg"
"32","Andira Runehand","Healer","Vanilla","andirarunehand.jpg","andirarunehandbust.jpg"
"33","Widow Tarha","Mage","Vanilla","widowtarha.jpg","widowtarhabust.jpg"
"34","Challara","Mage","Vanilla","challara.jpg","challarabust.jpg"
"35","Jaes the Exile","Mage","Vanilla","jaestheexile.jpg","jaestheexilebust.jpg"
"36","Landrec the Wise","Mage","Vanilla","landrecthewise.jpg","landrecthewisebust.jpg"
"37","Lyssa","Mage","Vanilla","lyssa.jpg","lyssabust.jpg"
"38","Mad Carthos","Mage","Vanilla","madcarthos.jpg","madcarthosbust.jpg"
"39","Master Thorn","Mage","Vanilla","masterthorn.jpg","masterthornbust.jpg"
"40","Truthseer Kel","Mage","Vanilla","truthseerkel.jpg","truthseerkelbust.jpg"
"41","Zyla","Mage","Vanilla","zyla.jpg","zylabust.jpg"
"42","Astarra","Mage","Vanilla","astarra.jpg","astarrabust.jpg"
"43","Tinashi the Wanderer","Scout","Vanilla","tinashithewanderer.jpg","tinashithewandererbust.jpg"
"44","Roganna the Shade","Scout","Vanilla","rogannatheshade.jpg","rogannatheshadebust.jpg"
"45","Tomble Burrowell","Scout","Vanilla","tombleburrowell.jpg","tombleburrowellbust.jpg"
"46","Jain Fairwood","Scout","Vanilla","jainfairwood.jpg","jainfairwoodbust.jpg"
"47","Bogran the Shadow","Scout","Vanilla","bograntheshadow.jpg","bograntheshadowbust.jpg"
"48","Grey Ker","Scout","Vanilla","greyker.jpg","greykerbust.jpg"
"49","Kirga","Scout","Vanilla","kirga.jpg","kirgabust.jpg"
"50","Lindel","Scout","Vanilla","lindel.jpg","lindelbust.jpg"
"51","Red Scorpion","Scout","Vanilla","redscorpion.jpg","redscorpionbust.jpg"
"52","Ronin of the Wild","Scout","Vanilla","roninofthewild.jpg","roninofthewildbust.jpg"
"53","Silhouette","Scout","Vanilla","silhouette.jpg","silhouettebust.jpg"
"54","Tatianna","Scout","Vanilla","tatianna","tatiannabust.jpg"
"55","Tetherys","Scout","Vanilla","tetherys.jpg","tetherysbust.jpg"
"56","Vyrah the Falconer","Scout","Vanilla","vyrahthefalconer.jpg","vyrahthefalconerbust.jpg"
"57","Arvel Worldwalker","Scout","Vanilla","arvelworldwalker.jpg","arvelworldwalkerbust.jpg"
"58","Pathfinder Durik","Warrior","Vanilla","pathfinderdurik.jpg","pathfinderdurikbust.jpg"
"59","Syndrael","Warrior","Vanilla","syndrael.jpg","syndraelbust.jpg"
"60","Grisban the Thirsty","Warrior","Vanilla","grisbanthethirsty.jpg","grisbanthethirstybust.jpg"
"61","Corbin","Warrior","Vanilla","corbin.jpg","corbinbust.jpg"
"62","Eliam","Warrior","Vanilla","eliam.jpg","eliambust.jpg"
"63","Hugo the Glorious","Warrior","Vanilla","hugotheglorious.jpg","hugothegloriousbust.jpg"
"64","Karnon","Warrior","Vanilla","karnon.jpg","karnonbust.jpg"
"65","Krutzbeck","Warrior","Vanilla","krutzbeck.jpg","krutzbeckbust.jpg"
"66","Lord Hawthorne","Warrior","Vanilla","lordhawthorne.jpg","lordhawthornebust.jpg"
"67","Mordrog","Warrior","Vanilla","mordrog.jpg","mordrogbust.jpg"
"68","Nanok of the Blade","Warrior","Vanilla","nanokoftheblade.jpg","nanokofthebladebust.jpg"
"69","Nara the Fang","Warrior","Vanilla","narathefang.jpg","narathefangbust.jpg"
"70","One Fist","Warrior","Vanilla","onefist.jpg","onefistbust.jpg"
"71","Sir Valadir","Warrior","Vanilla","sirvaladir.jpg","sirvaladirbust.jpg"
"72","Steelhorns","Warrior","Vanilla","steelhorns.jpg","steelhornsbust.jpg"
"73","Tahlia","Warrior","Vanilla","tahlia.jpg","tahliabust.jpg"
"74","Trenloe the Strong","Warrior","Vanilla","trenloethestrong.jpg","trenloethestrongbust.jpg"
"75","Varikas the Dead","Warrior","Vanilla","varikasthedead.jpg","varikasthedeadbust.jpg"
"77","No Mage","Mage","none","nomage.jpg","nomagebust.jpg"
"78","No Scout","Scout","none","noscout.jpg","noscoutbust.jpg"
"79","No Warrior","Warrior","none","nowarrior.jpg","nowarriorbust.jpg"
"80","No Healer","Healer","none","nohealer.jpg","nohealerbust.jpg"
