"market_id","market_item_name","market_act","market_price","market_sellprice","shop_relic","owner","market_img","market_expansion"
"1","Belt of Alchemy","1","-100","50","no","hero","beltofalchemy.jpg","The Trollfens"
"2","Belt of Waterwalking","1","-50","25","no","hero","beltofwaterwalking.jpg","The Trollfens"
"3","Deflecting Shield","1","-50","25","no","hero","deflectingshield.jpg","The Trollfens"
"4","Dire Flail","1","-150","75","no","hero","direflail.jpg","The Trollfens"
"5","Immunity Elixir (Relic)","0","0","0","yes","hero","immunityelixir.jpg","The Trollfens"
"6","Curative Vial (Relic)","0","0","0","yes","overlord","curativevial.jpg","The Trollfens"
"15","Reaper's Scythe (Necromancer)","0","0","25","no","Necromancer","reapersscythenecromancer.jpg","vanilla"
"19","Yew Shortbow (Wildlander)","0","0","25","no","Wildlander","yewshortbowwildlander.jpg","vanilla"
"20","Wooden Shield (Disciple)","0","0","25","no","Disciple","woodenshielddisciple.jpg","vanilla"
"21","Iron Mace (Disciple)","0","0","25","no","Disciple","ironmacedisciple.jpg","vanilla"
"22","Iron Longsword (Knight)","0","0","25","no","Knight","ironlongswordknight.jpg","vanilla"
"23","Wooden Shield (Knight)","0","0","25","no","Knight","woodenshieldknight.jpg","vanilla"
"24","Worn Greatsword (Champion)","0","0","25","no","Champion","worngreatswordchampion.jpg","Lair of the Wyrm"
"25","Horn of Courage (Champion)","0","0","25","no","Champion","hornofcouragechampion.jpg","Lair of the Wyrm"
"26","Hunting Spear (Bestmaster)","0","0","25","no","Beastmaster","huntingspearbeastmaster.jpg","Labyrinth of Ruin"
"27","Skinning Knife (Beastmaster)","0","0","25","no","Beastmaster","skinningknifebeastmaster.jpg","Labyrinth of Ruin"
"28","Leather Whip (Treasure Hunter)","0","0","25","no","Treasure Hunter","leatherwhiptreasurehunter.jpg","Labyrinth of Ruin"
"29","The Dead Man's Compass (Treasurehunter","0","0","25","no","Treasure Hunter","thedeadmanscompasstreasurehunter.jpg","Labyrinth of Ruin"
"30","Throwing Knives (Thief)","0","0","25","no","Thief","throwingknivesthief.jpg","vanilla"
"31","Lucky Charm (Thief)","0","0","25","no","Thief","luckycharmthief.jpg","vanilla"
"32","Hunting Knife (Stalker)","0","0","25","no","Stalker","huntingknifestalker.jpg","The Trollfens"
"33","Arcane Bolt (Runemaster)","0","0","25","no","Runemaster","arcaneboltrunemaster.jpg","vanilla"
"34","Staff of the Grave (Hexer)","0","0","25","no","Hexer","staffofthegravehexer.jpg","Labyrinth of Ruin"
"35","Statis Rune (Geomancer)","0","0","25","no","Geomancer","stasisrunegeomancer.jpg","Lair of the Wyrm"
"36","Oakstaff (Spiritspeaker)","0","0","25","no","Spiritspeaker","oakstaffspiritspeaker.jpg","vanilla"
"37","Smoking Vials (Apothecary)","0","0","25","no","Apothecary","smokingvialsapothecary.jpg","Labyrinth of Ruin"
"38","Iron Flail (Prophet)","0","0","25","no","Prophet","ironflailprophet.jpg","vanilla"
"39","Sage's Tome (Prophet)","0","0","25","no","Prophet","sagestomeprophet.jpg","vanilla"
"40","Chipped Greataxe (Berserker)","0","0","25","no","Berserker","chippedgreataxeberserker.jpg","vanilla"
"41","Mending Talisman (Relic)","0","0","0","yes","hero","mendingtalisman.jpg","The Trollfens"
"42","Omen of Blight (Relic)","0","0","0","yes","overlord","omenofblight.jpg","The Trollfens"
"43","Workman's Ring (Relic)","0","0","0","yes","hero","workmansring.jpg","The Trollfens"
"44","Taskmaster's Ring (Relic)","0","0","0","yes","overlord","taskmastersring.jpg","The Trollfens"
"45","Gauntlets of Power (Relic)","0","0","0","yes","hero","gauntletsofpower.jpg","Labyrinth of Ruin"
"46","Gauntlets of Spite (Relic)","0","0","0","yes","overlord","guantletsofspite.jpg","Labyrinth of Ruin"
"47","Living Heart (Relic)","0","0","0","yes","hero","livingheart.jpg","Labyrinth of Ruin"
"48","Fallen Heart (Relic)","0","0","0","yes","overlord","fallenheart.jpg","Labyrinth of Ruin"
"49","Sun Stone (Relic)","0","0","0","yes","hero","sunstone.jpg","Labyrinth of Ruin"
"50","Sun's Fury (Relic)","0","0","0","yes","overlord","sunsfury.jpg","Labyrinth of Ruin"
"51","Valyndra's Bane (Relic)","0","0","0","yes","hero","valyndrasbane.jpg","Lair of the Wyrm"
"52","Her Majesty's Malice (Relic)","0","0","0","yes","overlord","hermajestysmalice.jpg","Lair of the Wyrm"
"53","Aurium Mail (Relic)","0","0","0","yes","hero","auriummail.jpg","Lair of the Wyrm"
"54","Valyndra's Gift (Relic)","0","0","0","yes","overlord","valyndrasgift.jpg","Lair of the Wyrm"
"55","Dawnblade (Relic)","0","0","0","yes","hero","dawnblade.jpg","vanilla"
"56","Duskblade (Relic)","0","0","0","yes","overlord","duskblade.jpg","vanilla"
"57","Fortuna's Dice (Relic)","0","0","0","yes","hero","fortunasdice.jpg","vanilla"
"58","Bones of Woe (Relic)","0","0","0","yes","overlord","bonesofwoe.jpg","vanilla"
"59","Shield of the Dark God (Relic)","0","0","0","yes","hero","shieldofthedarkgod.jpg","vanilla"
"60","Shield of Zorek's Favor (Relic)","0","0","0","yes","overlord","shieldofzoreksfavor.jpg","vanilla"
"61","Staff of Light (Relic)","0","0","0","yes","hero","staffoflight.jpg","vanilla"
"62","Staff of Shadows (Relic)","0","0","0","yes","overlord","staffofshadows.jpg","vanilla"
"63","The Shadow Rune (Hero Relic)","0","0","0","yes","hero","theshadowrunehero.jpg","vanilla"
"64","The Shadow Rune (overlord Relic)","0","0","0","yes","overlord","theshadowruneoverlord.jpg","vanilla"
"65","Trueshot (Relic)","0","0","0","yes","hero","trueshot.jpg","vanilla"
"66","Scorpion's Kiss (Relic)","0","0","0","yes","overlord","scorpionskiss.jpg","vanilla"
"68","Guardian Axe","5","-175","75","no","hero","guardianaxe.jpg","The Trollfens"
"69","Lifedrain Scepeter","5","-100","50","no","hero","lifedrainscepter.jpg","The Trollfens"
"70","Mapstone","5","-50","25","no","hero","mapstone.jpg","The Trollfens"
"71","Trident","5","-125","50","no","hero","trident.jpg","The Trollfens"
"72","Thief's Vest","5","-100","50","no","hero","theifsvest.jpg","Labyrinth of Ruin"
"73","Teleportation Rune","5","-125","50","no","hero","teleportationrune.jpg","Labyrinth of Ruin"
"74","Shield of Light","5","-75","25","no","hero","shieldoflight.jpg","Labyrinth of Ruin"
"75","Serpent Dagger","5","-125","50","no","hero","serpentdagger.jpg","Labyrinth of Ruin"
"76","Rune Plate","5","-175","75","no","hero","runeplate.jpg","Labyrinth of Ruin"
"77","Poisoned Blowgun","5","-100","50","no","hero","poisonedblowgun.jpg","Labyrinth of Ruin"
"78","Mace of Aver","5","-150","75","no","hero","maceofaver.jpg","Labyrinth of Ruin"
"79","Jinn's Lamp","5","-100","50","no","hero","jinnslamp.jpg","Labyrinth of Ruin"
"80","Elven Boots","5","-50","25","no","hero","elvenboots.jpg","Labyrinth of Ruin"
"81","Bow of Bone","5","-125","50","no","hero","bowofbone.jpg","Labyrinth of Ruin"
"82","Bearded Axe","5","-175","75","no","hero","beardedaxe.jpg","Labyrinth of Ruin"
"83","Flash Powder","5","-100","50","no","hero","flashpowder.jpg","Lair of the Wyrm"
"84","Magic Staff","1","-150","75","no","hero","magicstaff.jpg","vanilla"
"85","Leather Armor","1","-75","25","no","hero","leatherarmor.jpg","vanilla"
"86","Scorpion Helm","1","-75","25","no","hero","scorpionhelm.jpg","vanilla"
"87","Iron Shield","1","-50","25","no","hero","ironshield.jpg","vanilla"
"88","Lucky Charm","1","-100","50","no","hero","luckycharm.jpg","vanilla"
"89","Magma Blast","1","-150","75","no","hero","magmablast.jpg","Lair of the Wyrm"
"90","Handbow","1","-150","75","no","hero","handbow.jpg","Lair of the Wyrm"
"91","Halberd","1","-125","50","no","hero","halberd.jpg","Lair of the Wyrm"
