"skill_id","skill_name","skill_type","skill_class","skill_cost","skill_card","skill_expansion"
"1","Accurate","Scout","Wildlander","-1","accurate.jpg","vanilla"
"2","Nimble","Scout","Wildlander","0","nimble.jpg","vanilla"
"10","Brute","Warrior","Berserker","-1","brute.jpg","vanilla"
"11","Raise Dead (Necromancer)","Mage","Necromancer","0","raisedeadnecromancer.jpg","vanilla"
"12","Reanimate (Necromancer)","Mage","Necromancer","0","reanimatenecromancer.jpg","vanilla"
"13","Runic Knowledge (Runemaster)","Mage","Runemaster","0","runicknowledgerunemaster.jpg","vanilla"
"14","Prayer of Healing","Healer","Disciple","0","prayerofhealing.jpg","vanilla"
"15","Armor of Faith","Healer","Disciple","-1","armoffaith.jpg","vanilla"
"16","Blessed Strike","Healer","Disciple","-1","blessedstrike.jpg","vanilla"
"17","Cleansing Touch","Healer","Disciple","-1","cleansingtouch.jpg","vanilla"
"18","Divine Fury","Healer","Disciple","-2","divinefury.jpg","vanilla"
"19","Prayer of Peace","Healer","Disciple","-2","prayerofpeace.jpg","vanilla"
"20","Time of Need","Healer","Disciple","-2","timeofneed.jpg","vanilla"
"21","Holy Power","Healer","Disciple","-3","holypower.jpg","vanilla"
"22","Radiant Light","Healer","Disciple","-3","radiantlight.jpg","vanilla"
"23","Nimble","Scout","Wildlander","0","nimble.jpg","vanilla"
"25","Danger Sense","Scout","Wildlander","-1","dangersense.jpg","vanilla"
"26","Eagle Eyes","Scout","Wildlander","-1","eagleeyes.jpg","vanilla"
"27","Bow Mastery","Scout","Wildlander","-2","bowmastery.jpg","vanilla"
"28","First Strike","Scout","Wildlander","-2","firststrike.jpg","vanilla"
"29","Fleet of Foot","Scout","Wildlander","-2","fleetoffoot.jpg","vanilla"
"30","Black Arrow","Scout","Wildlander","-3","blackarrow.jpg","vanilla"
"31","Running Shot","Scout","Wildlander","-3","runningshot.jpg","vanilla"
"32","Counter Attack","Warrior","Berserker","-1","counterattack.jpg","vanilla"
"33","Rage","Warrior","Berserker","0","rage.jpg","vanilla"
"35","Cripple","Warrior","Berserker","-1","cripple.jpg","vanilla"
"36","Charge","Warrior","Berserker","-2","charge.jpg","vanilla"
"37","Weapon Mastery","Warrior","Berserker","-2","weaponmastery.jpg","vanilla"
"38","Whirlwind","Warrior","Berserker","-2","whirlwind.jpg","vanilla"
"39","Death Rage","Warrior","Berserker","-3","deathrage.jpg","vanilla"
"40","Execute","Warrior","Berserker","-3","excute.jpg","vanilla"
"43","Corpse Blast","Mage","Necromancer","-1","corpseblast.jpg","vanilla"
"44","Fury of Undeath","Mage","Necromancer","-1","furyofundeath.jpg","vanilla"
"45","Deathly Haste","Mage","Necromancer","-1","deathlyhaste.jpg","vanilla"
"46","Dark Pact","Mage","Necromancer","-2","darkpact.jpg","vanilla"
"47","Vampiric Blood","Mage","Necromancer","-2","vampiricblood.jpg","vanilla"
"48","Undead Might","Mage","Necromancer","-2","undeadmight.jpg","vanilla"
"49","Army of Death","Mage","Necromancer","-3","armyofdeath.jpg","vanilla"
"50","Dying Command","Mage","Necromancer","-3","dyingcommand.jpg","vanilla"
"51","Soothing Insight","Healer","Prophet","0","soothinginsight.jpg","vanilla"
"52","Battle Vision","Healer","Prophet","-1","battlevision.jpg","vanilla"
"53","Forewarning","Healer","Prophet","-1","forewarning.jpg","vanilla"
"54","Grim Fate","Healer","Prophet","-1","grimfate.jpg","vanilla"
"55","All-Seeing","Healer","Prophet","-2","allseeing.jpg","vanilla"
"56","Lifeline","Healer","Prophet","-2","lifeline.jpg","vanilla"
"57","Victory Foretold","Healer","Prophet","-2","victoryforetold.jpg","vanilla"
